Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
javapoet,com.squareup.javapoet,AnnotationSpec,6,4,12,9,206,30,0,0,0.25,6,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\AnnotationSpec.java,43
javapoet,com.squareup.javapoet,AnnotationSpec.Builder,2,1,0,0,46,0,0,0,-1.0,0,1,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\AnnotationSpec.java,195
javapoet,com.squareup.javapoet,AnnotationSpec.Visitor,1,0,0,0,28,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\AnnotationSpec.java,250
javapoet,com.squareup.javapoet,ArrayTypeName,1,1,13,6,64,15,0,1,0.23076923076923078,3,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\ArrayTypeName.java,30
javapoet,com.squareup.javapoet,ClassName,7,1,25,21,225,40,0,1,0.08,15,1,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\ClassName.java,32
javapoet,com.squareup.javapoet,CodeBlock,9,0,11,10,0,14,0,0,0.18181818181818182,16,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\CodeBlock.java,32
javapoet,com.squareup.javapoet,CodeBlock.Builder,2,0,0,0,0,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\CodeBlock.java,159
javapoet,com.squareup.javapoet,CodeBlock.CodeBlockJoiner,3,0,0,0,27,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\CodeBlock.java,438
javapoet,com.squareup.javapoet,CodeWriter,19,0,29,16,0,91,0,0,0.06896551724137931,12,8,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\CodeWriter.java,27
javapoet,com.squareup.javapoet,CodeWriter.Multiset,1,0,0,0,17,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\CodeWriter.java,490
javapoet,com.squareup.javapoet,CodeWriterParameters,5,0,6,6,29,6,0,0,0.0,1,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\CodeWriterParameters.java,6
javapoet,com.squareup.javapoet,FieldSpec,12,8,9,7,122,13,0,0,0.0,2,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\FieldSpec.java,31
javapoet,com.squareup.javapoet,FieldSpec.Builder,6,2,0,0,53,0,0,0,-1.0,0,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\FieldSpec.java,109
javapoet,com.squareup.javapoet,JavaFile,15,5,23,20,238,36,0,0,0.2608695652173913,6,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\JavaFile.java,34
javapoet,com.squareup.javapoet,JavaFile.Builder,6,1,0,0,46,0,0,0,-1.0,0,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\JavaFile.java,264
javapoet,com.squareup.javapoet,LineWrapper,10,0,7,0,0,20,0,0,0.0,2,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\LineWrapper.java,22
javapoet,com.squareup.javapoet,LineWrapper.FlushType,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\LineWrapper.java,139
javapoet,com.squareup.javapoet,LineWrapper.RecordingAppendable,2,0,0,0,25,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\LineWrapper.java,143
javapoet,com.squareup.javapoet,MethodSpec,23,15,14,10,394,36,0,0,0.0,6,4,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\MethodSpec.java,42
javapoet,com.squareup.javapoet,MethodSpec.Builder,11,4,0,0,196,0,0,0,-1.0,0,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\MethodSpec.java,294
javapoet,com.squareup.javapoet,NameAllocator,2,0,7,6,67,12,0,0,0.2857142857142857,1,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\NameAllocator.java,27
javapoet,com.squareup.javapoet,ParameterizedTypeName,3,2,11,7,90,17,0,1,0.18181818181818182,1,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\ParameterizedTypeName.java,31
javapoet,com.squareup.javapoet,ParameterSpec,10,7,13,8,141,19,0,0,0.15384615384615385,3,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\ParameterSpec.java,33
javapoet,com.squareup.javapoet,ParameterSpec.Builder,5,2,0,0,54,0,0,0,-1.0,0,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\ParameterSpec.java,137
javapoet,com.squareup.javapoet,TypeName,23,11,34,20,0,92,5,0,0.2647058823529412,22,5,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\TypeName.java,29
javapoet,com.squareup.javapoet,TypeSpec,39,27,22,15,621,63,0,0,0.09090909090909091,9,4,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\TypeSpec.java,33
javapoet,com.squareup.javapoet,TypeSpec.Kind,4,0,0,0,11,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\TypeSpec.java,372
javapoet,com.squareup.javapoet,TypeSpec.Builder,17,10,0,0,319,0,0,0,-1.0,0,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\TypeSpec.java,413
javapoet,com.squareup.javapoet,TypeVariableName,2,2,17,11,119,23,0,1,0.29411764705882354,4,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\TypeVariableName.java,34
javapoet,com.squareup.javapoet,Util,0,0,12,0,0,31,0,0,-1.0,2,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\Util.java,31
javapoet,com.squareup.javapoet,WildcardTypeName,2,2,13,8,73,18,0,1,0.3076923076923077,4,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\main\java\com\squareup\javapoet\WildcardTypeName.java,28
javapoet,com.squareup.javapoet,AbstractTypesTest,0,0,26,22,165,26,2,0,-1.0,0,6,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AbstractTypesTest.java,44
javapoet,com.squareup.javapoet,AbstractTypesTest.Parameterized,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AbstractTypesTest.java,106
javapoet,com.squareup.javapoet,AbstractTypesTest.Recursive,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AbstractTypesTest.java,139
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,4,0,23,22,122,23,0,0,0.13043478260869565,0,6,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AnnotatedTypeNameTest.java,30
javapoet,com.squareup.javapoet,AnnotationSpecTest,1,1,13,12,125,13,0,0,0.6153846153846154,0,3,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AnnotationSpecTest.java,32
javapoet,com.squareup.javapoet,AnnotationSpecTest.Breakfast,0,0,0,0,4,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AnnotationSpecTest.java,48
javapoet,com.squareup.javapoet,AnnotationSpecTest.IsAnnotated,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\AnnotationSpecTest.java,94
javapoet,com.squareup.javapoet,ClassNameTest,2,1,15,13,147,15,0,0,0.8,0,2,C:\Courses\3130\Assignment 3\Assignment 3\Assignment 3\.\javapoet\src\test\java\com\squareup\javapoet\ClassNameTest.java,33
